Course No,Course Title,Units,Instructor,Start Date,End Date,Days,Time,Notes,Location,Capacity,Filled,Available
MBA212A.1,Cleantech to Market,3.0,"Steel, B. , Luce, A. , Martinez, A.",08/26/2025,12/09/2025,W,2:00PM- 5:00PM,No Add/Drop,C210 Cheit,18,14,4
MBA222.1,Financial Information Analysis,3.0,"Dinova, V.",08/26/2025,12/09/2025,MW,11:00AM-12:30PM,,N470 Chou,74,34,40
MBA233.1,Asset Management,3.0,"Olesky, S.",08/25/2025,12/10/2025,TTh,2:00PM- 3:30PM,,N270 Chou,57,38,19
MBA236G.1B,Designing Financial Models that Work,1.0,"Herbert-Creek, J.",10/21/2025,12/09/2025,W,2:00PM- 4:00PM,,N300 Chou,40,40,0
MBA236G.2B,Designing Financial Models that Work,1.0,"Herbert-Creek, J.",10/21/2025,12/09/2025,W,4:00PM- 6:00PM,,N300 Chou,40,40,0
MBA236I.1,Fixed Income,2.0,"Ananthaswamy, S.",08/27/2025,11/05/2025,Th,6:00PM- 9:30PM,,N270 Chou,10,10,0
MBA236L.1F,Private Equity Leveraged Buyouts,2.0,"Goodson, P. , Hirji, A.",08/27/2025,11/05/2025,Th,2:00PM- 5:00PM,Online course,,25,25,0
MBA236V.1,New Venture Finance,2.0,"O'Neill, M.",08/27/2025,10/29/2025,Th,6:00PM- 9:30PM,"Unique dates, check course description.",N570 Chou,37,37,0
MBA237.1,Valuation Models,1.0,"Herbert-Creek, J.",10/26/2025,12/07/2025,M,2:00PM- 4:00PM,,N300 Chou,45,45,0
MBA237.11,Search Funds,1.0,"Rindfuss, W. , Simon, J.",09/06/2025,10/11/2025,Su,9:00AM- 5:00PM,,N370 Chou,37,37,0
MBA246.11,Project Management,1.0,"Romero-Hernandez, O.",09/20/2025,10/04/2025,Su,9:00AM- 5:00PM,,N570 Chou,37,16,21
MBA246.1B,Project Management,1.0,"Romero-Hernandez, O.",10/22/2025,12/10/2025,Th,9:00AM-11:00AM,,N270 Chou,57,32,25
MBA247.1,Descriptive and Predictive Data Mining,2.0,"Yang, L.",08/26/2025,10/28/2025,W,6:00PM- 9:30PM,,N300 Chou,38,38,0
MBA251A.11F,People Analytics,2.0,"Whiteman, H.",08/29/2025,12/12/2025,S,9:00AM- 1:00PM,"Unique dates, check course description; Online course.",,25,8,17
MBA252.1,Negotiations and Conflict Resolution,2.0,"Schroth, H.",08/24/2025,11/09/2025,M,8:00AM-11:00AM,,N500 Chou,78,78,0
MBA254.1A,Power and Politics in Organizations,2.0,"Anderson, C.",08/24/2025,10/12/2025,MW,2:00PM- 4:00PM,,N170 Chou,57,57,0
MBA254.2A,Power and Politics in Organizations,2.0,"Anderson, C.",08/26/2025,10/14/2025,MW,4:00PM- 6:00PM,,N370 Chou,74,60,14
MBA256.1F,Global Leadership,3.0,"Gundling, E. , Hischier, W.",08/25/2025,12/08/2025,T,4:00PM- 6:00PM,Online course.,,25,25,0
MBA261.1,Marketing Research: Tools and Techniques for Data Collection,3.0,"Nelson, L.",08/24/2025,12/09/2025,MW,11:00AM-12:30PM,,N370 Chou,74,38,36
MBA266.11,Sales Force Management and Channel Strategy,3.0,"Azhar, W.",08/22/2025,12/05/2025,S,2:00PM- 5:45PM,"Unique dates, see course description.",N270 Chou,29,2,27
MBA271.1,Tech and the City: How to Get Urban Innovation Right,3.0,"Turner, M.",08/27/2025,12/10/2025,TTh,11:00AM-12:30PM,,N170 Chou,57,57,0
MBA277.12,Disruption Futures,2.0,"Groth, O.",09/12/2025,10/31/2025,S,9:00AM- 1:00PM,"Unique course, see course description.",N500 Chou,39,9,30
MBA277.3,Climate: Politics, Finance & Infrastructure,2.0,"Schaaf, L. , Gordon, K.",08/27/2025,12/10/2025,Th,4:00PM- 6:00PM,,N370 Chou,37,36,1
MBA282.1,Real Estate Development,3.0,"Williams, D.",08/24/2025,12/14/2025,M,6:00PM- 9:30PM,,N300 Chou,35,11,24
MBA283.1,Real Estate Finance and Securitization,3.0,"McQuade, T.",09/01/2025,12/15/2025,T,6:00PM- 9:30PM,,N500 Chou,36,12,24
MBA287.1,Finding Your Place in Real Estate,1.0,"Franklin, A.",08/25/2025,12/08/2025,T,4:00PM- 6:00PM,,N170 Chou,29,12,17
MBA290N.1,Managing the New Product Development Process,3.0,"Law, V.",08/24/2025,12/09/2025,MW,11:00AM-12:30PM,,N540 Chou,35,35,0
MBA290T.11,From Query to Insights: Analytics with SQL & AI Assistants,1.0,"Varier, R.",11/01/2025,11/15/2025,Su,9:00AM- 5:00PM,,N370 Chou,35,35,0
MBA290T.2,Social Impact Strategy in Commercial Tech,2.0,"Rosenzweig, A.",08/24/2025,12/07/2025,M,4:00PM- 6:00PM,,C220 Cheit,64,26,38
MBA290T.3,Deep Tech Commercialization Strategies,3.0,"Rappaport, M.",08/24/2025,12/07/2025,M,6:00PM- 9:30PM,,N500 Chou,24,24,0
MBA291E.11F,Interpersonal Skills and Embodied Systems Leadership,2.0,"Peng, E.",10/09/2025,10/23/2025,F,10:00AM- 6:00PM,"Unique course; see course description; Online course.",,13,13,0
MBA291F.11,Audience-Focused Communication,1.0,"Leipzig, A.",10/31/2025,11/14/2025,S,9:00AM- 5:00PM,,N540 Chou,40,40,0
MBA291R.11,Building Trust-Based Relationships,1.0,"Caleshu, J. , Ball, R.",09/27/2025,10/18/2025,Su,9:00AM- 5:00PM,,N540 Chou,24,24,0
MBA291S.1A,Storytelling for Leadership,1.0,"Fitzpatrick, T.",09/08/2025,10/06/2025,T,2:00PM- 5:00PM,,N500 Chou,26,26,0
MBA292B.11,Nonprofit Boards,1.0,"Heinrich, L.",09/27/2025,10/18/2025,Su,9:00AM- 5:00PM,,N270 Chou,29,4,25
MBA292C.1F,Strategic and Sustainable Business Solutions,3.0,"Krackeler, D. , Vaughan, J.",09/01/2025,12/15/2025,T,6:00PM- 9:30PM,Online course.,,25,2,23
MBA292ID.11,Impact Startup Disco,1.0,"Calderon, J.",10/23/2025,10/25/2025,Su,12:00PM- 4:00PM,"Unique course structure, see course description",N440 Chou,24,7,17
MBA292M.1,Social Impact Metrics,2.0,"Boyle, C.",08/26/2025,12/09/2025,W,4:00PM- 6:00PM,,N170 Chou,57,22,35
